ESDOrganizationName,DistrictCode,DistrictName,subgroup,SocialEmotionalBirthtoTwoYearOlds,SocialEmotionalTwoYearOlds,SocialEmotional3YearOlds,SocialEmotional4YearOlds,SocialEmotional5YearOlds,SocialEmotionalTotal,PhysicalBirthtoTwoYearOlds,PhysicalTwoYearOlds,Physical3YearOlds,Physical4YearOlds,Physical5YearOlds,PhysicalTotal,LanguageBirthtoTwoYearOlds,LanguageTwoYearOlds,Language3YearOlds,Language4YearOlds,Language5YearOlds,LanguageTotal,CognitiveBirthtoTwoYearOlds,CognitiveTwoYearOlds,Cognitive3YearOlds,Cognitive4YearOlds,Cognitive5YearOlds,CognitiveTotal,LiteracyBirthtoTwoYearOlds,LiteracyTwoYearOlds,Literacy3YearOlds,Literacy4YearOlds,Literacy5YearOlds,LiteracyTotal,MathBirthtoTwoYearOlds,MathTwoYearOlds,Math3YearOlds,Math4YearOlds,Math5YearOlds,MathTotal,SocialEmotionalMet,PhysicalMet,LanguageMet,CognitiveMet,LiteracyMet,MathMet,NumberMet0Domains,NumberMet1Domain,NumberMet2Domains,NumberMet3Domains,NumberMet4Domains,NumberMet5Domains,NumberMet6Domains
"""",17901,First Place Scholars Charter School District,All,0,1,7,8,8,24,0,0,3,11,10,24,0,0,2,11,11,24,0,1,3,14,6,24,0,0,1,5,18,24,0,0,2,9,13,24,16,20,22,20,23,21,1,0,1,2,2,2,16
"""",17901,First Place Scholars Charter School District,Female,,,,,,8,,,,,,8,,,,,,8,,,,,,8,,,,,,8,,,,,,8,,,,,,,,,,,,,
,17901,First Place Scholars Charter School District,Male,0,1,6,6,3,16,0,0,3,7,6,16,0,0,2,8,6,16,0,1,2,11,2,16,0,0,1,5,10,16,0,0,2,5,9,16,9,13,14,13,15,13,1,0,1,1,2,2,9
"""",17903,Muckleshoot Indian Tribe,All,2,4,18,13,0,37,2,0,10,26,0,38,2,0,4,30,0,36,2,0,12,22,0,36,2,0,1,10,26,39,2,4,13,21,0,40,13,20,30,20,34,5,2,5,6,4,7,10,1
"""",17903,Muckleshoot Indian Tribe,Female,0,1,9,8,0,18,0,0,3,16,0,19,0,0,2,16,0,18,0,0,3,15,0,18,0,0,1,5,15,21,0,2,6,12,0,20,8,15,16,15,19,3,0,2,0,2,4,8,1
"""",17903,Muckleshoot Indian Tribe,Male,2,3,9,5,0,19,2,0,7,10,0,19,2,0,2,14,0,18,2,0,9,7,0,18,2,0,0,5,11,18,2,2,7,9,0,20,5,5,14,5,15,2,2,3,6,2,3,2,0
Educational Service District 101,1109,Washtucna School District,All,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,,
Educational Service District 101,1109,Washtucna School District,Hispanic / Latino of any race(s),,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
Educational Service District 101,1109,Washtucna School District,Low Income,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
Educational Service District 101,1109,Washtucna School District,Male,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,,
Educational Service District 101,1109,Washtucna School District,Special Education,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,,
Educational Service District 101,1109,Washtucna School District,White,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
Educational Service District 101,1158,Lind School District,All,0,0,0,1,14,15,0,0,0,2,13,15,0,0,0,0,15,15,0,0,0,0,15,15,0,0,0,0,15,15,0,0,0,1,14,15,15,15,15,15,15,15,0,0,0,0,0,0,15
Educational Service District 101,1158,Lind School District,Black / African American,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
Educational Service District 101,1158,Lind School District,Female,,,,,,9,,,,,,9,,,,,,9,,,,,,9,,,,,,9,,,,,,9,,,,,,,,,,,,,
Educational Service District 101,1158,Lind School District,Hispanic / Latino of any race(s),,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,,,,,,,,
Educational Service District 101,1158,Lind School District,Limited English,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,,,,,,,,
Educational Service District 101,1158,Lind School District,Low Income,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,,,,,,,,
Educational Service District 101,1158,Lind School District,Male,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,,,,,,,,,
Educational Service District 101,1158,Lind School District,White,0,0,0,1,9,10,0,0,0,2,8,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,1,9,10,10,10,10,10,10,10,0,0,0,0,0,0,10
Educational Service District 101,1160,Ritzville School District,All,2,0,4,3,12,21,1,0,1,9,10,21,1,0,4,4,12,21,1,0,1,7,12,21,1,1,5,2,12,21,1,0,3,8,9,21,15,19,16,17,14,13,2,2,1,0,2,2,12
