Districts Search Results,,,,,,,,,,,,,,,,
Mon May 09 2022 at 3:16:26 PM,,,,,,,,,,,,,,,,
"130 results exported. Export results are limited to 11,000 records.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCES District ID,State District ID,District Name,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type
5300030,WA-14005,Aberdeen School District,Grays Harbor County,216 N G ST,ABERDEEN,WASHINGTON,98520,5297,(360)538-2000,3500,203.55,12,33,33-Town: Remote,17.19,1-Regular local school district that is NOT a component of a supervisory union
5300346,WA-17915,Ashe Preparatory Academy,King County,11625 Rainier Ave S,Seattle,WASHINGTON,98178,    ,(206)931-0964,89,0,1,12,12-City: Mid-size,0,7-Independent Charter District
5300300,WA-17408,Auburn School District,King County,915 4TH ST NE,AUBURN,WASHINGTON,98002,4452,(253)931-4900,17950,979.73,24,13,13-City: Small,18.32,1-Regular local school district that is NOT a component of a supervisory union
5300330,WA-18303,Bainbridge Island School District,Kitsap County,8489 MADISON AVE NE,BAINBRIDGE ISLAND,WASHINGTON,98110,2999,(206)842-4714,3835,207.79,10,22,22-Suburb: Mid-size,18.46,1-Regular local school district that is NOT a component of a supervisory union
5300014,WA-27931,Bates Technical College,Pierce County,1101 South Yakima Ave.,Tacoma,WASHINGTON,98405,    ,(253)680-7000,442,0,2,12,12-City: Mid-size,0,8-Other education agencies
5300390,WA-17405,Bellevue School District,King County,12111 NE 1ST ST,BELLEVUE,WASHINGTON,98005,3183,(425)456-4000,21672,1172.36,31,12,12-City: Mid-size,18.49,1-Regular local school district that is NOT a component of a supervisory union
5300480,WA-27403,Bethel School District,Pierce County,516 176th St E,Spanaway,WASHINGTON,98387,    ,(253)683-6000,20615,1118.97,31,21,21-Suburb: Large,18.42,1-Regular local school district that is NOT a component of a supervisory union
5300660,WA-18100,Bremerton School District,Kitsap County,134 MARION AVE N,BREMERTON,WASHINGTON,98312,3542,(360)473-4734,4953,318.78,14,13,13-City: Small,15.54,1-Regular local school district that is NOT a component of a supervisory union
5300690,WA-24111,Brewster School District,Okanogan County,520 W Main,BREWSTER,WASHINGTON,98812,0097,(509)689-3418,997,58.25,4,43,43-Rural: Remote,17.12,1-Regular local school district that is NOT a component of a supervisory union
5300720,WA-09075,Bridgeport School District,Douglas County,1400 Tacoma Avenue,BRIDGEPORT,WASHINGTON,98813,1060,(509)686-5656,841,55.12,4,43,43-Rural: Remote,15.26,1-Regular local school district that is NOT a component of a supervisory union
5300750,WA-16046,Brinnon School District,Jefferson County,46 SCHOOLHOUSE RD,BRINNON,WASHINGTON,98320,9651,(360)680-1107,83,5.33,1,41,41-Rural: Fringe,15.57,1-Regular local school district that is NOT a component of a supervisory union
5300960,WA-04222,CASHMERE SCHOOL DISTRICT,Chelan County,210 S DIVISION ST,CASHMERE,WASHINGTON,98815,1133,(509)782-3355,1675,95.03,3,31,31-Town: Fringe,17.63,1-Regular local school district that is NOT a component of a supervisory union
5300011,WA-34801,Capital Region ESD 113,Thurston County,6005 Tyee Dr SW,TUMWATER,WASHINGTON,98512,    ,(360)464-6700,400,0,1,13,13-City: Small,0,8-Other education agencies
5300870,WA-27019,Carbonado School District,Pierce County,427 4TH ST,CARBONADO,WASHINGTON,98323,0131,(360)829-0121,202,12.5,1,41,41-Rural: Fringe,16.16,1-Regular local school district that is NOT a component of a supervisory union
5300950,WA-04228,Cascade School District,Chelan County,330 EVANS ST,LEAVENWORTH,WASHINGTON,98826,1244,(509)548-5885,1379,80.5,6,32,32-Town: Distant,17.13,1-Regular local school district that is NOT a component of a supervisory union
5300347,WA-18901,Catalyst Public Schools,Kitsap County,1305 Ironsides Avenue,Bremerton,WASHINGTON,98310,    ,(617)233-4226,0,0,0,13,13-City: Small,-2,7-Independent Charter District
5301080,WA-18401,Central Kitsap School District,Kitsap County,9210 SILVERDALE WAY NW,SILVERDALE,WASHINGTON,98383,9197,(360)662-3100,11869,638.62,19,13,13-City: Small,18.59,1-Regular local school district that is NOT a component of a supervisory union
5300315,WA-19901,Central Washington University,Kittitas County,400 East University Way,Ellensburg,WASHINGTON,98926,    ,(509)963-1111,0,0,0,32,32-Town: Distant,-1,8-Other education agencies
5900036,BI-D10P15,Chief Leschi School,Pierce County,5625 52nd Street East,Puyallup,BUREAU OF INDIAN EDUCATION,98371,    ,(253)445-6000,529,83,1,21,21-Suburb: Large,6.37,1-Regular local school district that is NOT a component of a supervisory union
5301290,WA-16049,Chimacum School District,Jefferson County,91 W VALLEY RD,CHIMACUM,WASHINGTON,98325,7731,(360)302-5894,835,49.56,5,41,41-Rural: Fringe,16.85,1-Regular local school district that is NOT a component of a supervisory union
5301350,WA-19404,Cle Elum-Roslyn School District,Kittitas County,4244 BULLFROG ROAD,CLE ELUM,WASHINGTON,98922,    ,(509)649-4850,943,52.97,4,32,32-Town: Distant,17.8,1-Regular local school district that is NOT a component of a supervisory union
5301410,WA-27400,Clover Park School District,Pierce County,10903 GRAVELLY LAKE DR SW,LAKEWOOD,WASHINGTON,98499,1341,(253)583-5190,13761,782.75,33,13,13-City: Small,17.58,1-Regular local school district that is NOT a component of a supervisory union
5300017,WA-27932,Clover Park Technical College,Pierce County,4500 STEILACOOM BLVD SW,LAKEWOOD,WASHINGTON,98499,4098,(253)589-5800,0,0,1,13,13-City: Small,0,8-Other education agencies
5301710,WA-14099,Cosmopolis School District,Grays Harbor County,1439 FOURTH STREET,COSMOPOLIS,WASHINGTON,98537,0479,(360)532-7181,188,11.85,1,33,33-Town: Remote,15.86,1-Regular local school district that is NOT a component of a supervisory union
5301830,WA-05313,Crescent School District,Clallam County,50350 HWY 112,JOYCE,WASHINGTON,98343,0020,(360)928-3311,366,20.65,2,43,43-Rural: Remote,17.72,1-Regular local school district that is NOT a component of a supervisory union
5301950,WA-19007,Damman School District,Kittitas County,3600 UMPTANUM RD,ELLENSBURG,WASHINGTON,98926,8747,(509)962-9079,37,2.49,1,41,41-Rural: Fringe,14.86,1-Regular local school district that is NOT a component of a supervisory union
5302130,WA-27343,Dieringer School District,Pierce County,1320 178TH AVE E,Lake Tapps,WASHINGTON,98391,6411,(253)862-2537,1570,84.7,3,21,21-Suburb: Large,18.54,1-Regular local school district that is NOT a component of a supervisory union
5302310,WA-09206,Eastmont School District,Douglas County,800 Eastmont Ave,EAST WENATCHEE,WASHINGTON,98802,4443,(509)884-7169,6306,345.1,11,23,23-Suburb: Small,18.27,1-Regular local school district that is NOT a component of a supervisory union
5302340,WA-19028,Easton School District,Kittitas County,1893 RAILROAD ST,EASTON,WASHINGTON,98925,0008,(509)656-2317,106,13.04,2,42,42-Rural: Distant,8.13,1-Regular local school district that is NOT a component of a supervisory union
5302370,WA-27404,Eatonville School District,Pierce County,200 LYNCH ST W,EATONVILLE,WASHINGTON,98328,0698,(360)879-1000,2059,98.09,9,32,32-Town: Distant,20.99,1-Regular local school district that is NOT a component of a supervisory union
