zip1,Zip2,city
ZIP Code 98001,98001,Auburn
ZIP Code 98002,98002,Auburn
ZIP Code 98003,98003,Federal Way
ZIP Code 98004,98004,Bellevue
ZIP Code 98005,98005,Bellevue
ZIP Code 98006,98006,Bellevue
ZIP Code 98007,98007,Bellevue
ZIP Code 98008,98008,Bellevue
ZIP Code 98009,98009,Bellevue
ZIP Code 98010,98010,Black Diamond
ZIP Code 98011,98011,Bothell
ZIP Code 98013,98013,Burton
ZIP Code 98014,98014,Carnation
ZIP Code 98015,98015,Bellevue
ZIP Code 98019,98019,Duvall
ZIP Code 98022,98022,Enumclaw
ZIP Code 98023,98023,Federal Way
ZIP Code 98024,98024,Fall City
ZIP Code 98025,98025,Hobart
ZIP Code 98027,98027,Issaquah
ZIP Code 98028,98028,Kenmore
ZIP Code 98029,98029,Issaquah
ZIP Code 98030,98030,Kent
ZIP Code 98031,98031,Kent
ZIP Code 98032,98032,Kent
ZIP Code 98033,98033,Kirkland
ZIP Code 98034,98034,Kirkland
ZIP Code 98035,98035,Kent
ZIP Code 98038,98038,Maple Valley
ZIP Code 98039,98039,Medina
ZIP Code 98040,98040,Mercer Island
ZIP Code 98041,98041,Bothell
ZIP Code 98042,98042,Kent
ZIP Code 98045,98045,North Bend
ZIP Code 98047,98047,Pacific
ZIP Code 98050,98050,Preston
ZIP Code 98051,98051,Ravensdale
ZIP Code 98052,98052,Redmond
ZIP Code 98053,98053,Redmond
ZIP Code 98055,98055,Renton
ZIP Code 98056,98056,Renton
ZIP Code 98057,98057,Renton
ZIP Code 98058,98058,Renton
ZIP Code 98059,98059,Renton
ZIP Code 98062,98062,Seahurst
ZIP Code 98063,98063,Federal Way
ZIP Code 98064,98064,Kent
ZIP Code 98065,98065,Snoqualmie
ZIP Code 98070,98070,Vashon
ZIP Code 98071,98071,Auburn
ZIP Code 98072,98072,Woodinville
ZIP Code 98073,98073,Redmond
ZIP Code 98074,98074,Sammamish
ZIP Code 98075,98075,Sammamish
ZIP Code 98077,98077,Woodinville
ZIP Code 98083,98083,Kirkland
ZIP Code 98089,98089,Kent
ZIP Code 98092,98092,Auburn
ZIP Code 98093,98093,Federal Way
ZIP Code 98101,98101,Seattle
ZIP Code 98102,98102,Seattle
ZIP Code 98103,98103,Seattle
ZIP Code 98104,98104,Seattle
ZIP Code 98105,98105,Seattle
ZIP Code 98106,98106,Seattle
ZIP Code 98107,98107,Seattle
ZIP Code 98108,98108,Seattle
ZIP Code 98109,98109,Seattle
ZIP Code 98111,98111,Seattle
ZIP Code 98112,98112,Seattle
ZIP Code 98113,98113,Seattle
ZIP Code 98114,98114,Seattle
ZIP Code 98115,98115,Seattle
ZIP Code 98116,98116,Seattle
ZIP Code 98117,98117,Seattle
ZIP Code 98118,98118,Seattle
ZIP Code 98119,98119,Seattle
ZIP Code 98121,98121,Seattle
ZIP Code 98122,98122,Seattle
ZIP Code 98124,98124,Seattle
ZIP Code 98125,98125,Seattle
ZIP Code 98126,98126,Seattle
ZIP Code 98127,98127,Seattle
ZIP Code 98129,98129,Seattle
ZIP Code 98131,98131,Seattle
ZIP Code 98133,98133,Seattle
ZIP Code 98134,98134,Seattle
ZIP Code 98136,98136,Seattle
ZIP Code 98138,98138,Seattle
ZIP Code 98139,98139,Seattle
ZIP Code 98141,98141,Seattle
ZIP Code 98144,98144,Seattle
ZIP Code 98145,98145,Seattle
ZIP Code 98146,98146,Seattle
ZIP Code 98148,98148,Seattle
ZIP Code 98154,98154,Seattle
ZIP Code 98155,98155,Seattle
ZIP Code 98158,98158,Seattle
ZIP Code 98160,98160,Seattle
ZIP Code 98161,98161,Seattle
ZIP Code 98164,98164,Seattle
ZIP Code 98165,98165,Seattle
ZIP Code 98166,98166,Seattle
ZIP Code 98168,98168,Seattle
ZIP Code 98170,98170,Seattle
ZIP Code 98174,98174,Seattle
ZIP Code 98175,98175,Seattle
ZIP Code 98177,98177,Seattle
ZIP Code 98178,98178,Seattle
ZIP Code 98181,98181,Seattle
ZIP Code 98185,98185,Seattle
ZIP Code 98188,98188,Seattle
ZIP Code 98190,98190,Seattle
ZIP Code 98191,98191,Seattle
ZIP Code 98194,98194,Seattle
ZIP Code 98195,98195,Seattle
ZIP Code 98198,98198,Seattle
ZIP Code 98199,98199,Seattle
ZIP Code 98224,98224,Baring
ZIP Code 98288,98288,Skykomish
